opponent,total_matches,wins,losses,draws
"Contin,D",1,0,0,1
"Feller,S",1,0,0,1
"Fier,A",1,0,0,1
"Flores,R",1,0,0,1
"Fodor,T",1,0,0,1
"Grover,S",1,0,0,1
"Groenn,A",1,0,0,1
"Graf,A",1,0,0,1
"Gorozhanin,M",1,0,0,1
"Golubov,Saveliy",1,0,0,1
"Godena,M",1,0,0,1
"Glenne,BE",1,0,0,1
"Giddins,S",1,0,0,1
"Georgiadis,N",1,0,0,1
"Gausel,E",1,0,0,1
"Garcia Lopez,Nicolas",1,0,0,1
"Ganguly,S",1,0,0,1
"Gagunashvili,M",1,0,0,1
"Gabrielsen,S",1,0,0,1
"Gaasland,Glenn",1,0,0,1
"Fyllingen,R",1,0,0,1
"Fontaine,R",1,0,0,1
"Cmilyte,V",1,0,0,1
"Clements,Shannon",1,0,0,1
"Christiansen,Johan-Sebastian",1,0,0,1
"Baltag,I",1,0,0,1
"Badelka,Olga",1,0,0,1
"Badea,B",1,0,0,1
"Arvola,B",1,0,0,1
"Arngrimsson,D",1,0,0,1
"Arkell,K",1,0,0,1
"Aravindh,Chithambaram VR.",1,0,0,1
"Antic,De",1,0,0,1
"Antal,Ge",1,0,0,1
"Andreassen,L",1,0,0,1
"Andersson,U",1,0,0,1
"Andersen,Ru",1,0,0,1
"Andersen,Dani",1,0,0,1
"Amonatov,F",1,0,0,1
"Al Hadarani,H",1,0,0,1
"Akesson,R",1,0,0,1
"Agopov,M",1,0,0,1
"Adhiban,Baskaran",1,0,0,1
"Balogun,Oluwafemi",1,0,0,1
"Banas,J",1,0,0,1
"Christensen,Kjeld",1,0,0,1
"Barendse,T",1,0,0,1
"Chadaev,N",1,0,0,1
"Byklum,B",1,0,0,1
"Bwalya,Gillan",1,0,0,1
"Burmakin,V",1,0,0,1
"Brynell,S",1,0,0,1
"Bruzon Batista,L",1,0,0,1
"Bosiocic,Mari",1,0,0,1
"Bosboom Lanchava,T",1,0,0,1
"Bogner,S",1,0,0,1
"Bjornsson,S",1,0,0,1
"Bindrich,F",1,0,0,1
"Berkes,F",1,0,0,1
"Beliavsky,A",1,0,0,1
"Beletic,D",1,0,0,1
"Beerdsen,Thomas",1,0,0,1
"Bauer,Ch",1,0,0,1
"Bartel,Mat",1,0,0,1
"Grubert,C",1,0,0,1
"Gullaksen,E",1,0,0,1
"Miton,K",1,0,0,1
"Aarefjord,Christian",1,0,0,1
"Leer Salvesen,B",1,0,0,1
"Lautier,J",1,0,0,1
"Larsen,Ka",1,0,0,1
"Lahlum,H",1,0,0,1
"Ladva,O",1,0,0,1
"Kvisvik,B",1,0,0,1
"Kuzubov,Y",1,0,0,1
"Kurnosov,I",1,0,0,1
"Kulkarni,R",1,0,0,1
"Gupta,Ab",1,0,0,1
"Kukk,S",1,0,0,1
"Krush,I",1,0,0,1
"Kovalev,Vl",1,0,0,1
"Kouvatsou,M",1,0,0,1
"Kotsur,P",1,0,0,1
"Kotronias,V",1,0,0,1
"Korotylev,A",1,0,0,1
"Korneev,O",1,0,0,1
Lei Tingjie,1,0,0,1
"Leitao,R",1,0,0,1
"Lemos,D",1,0,0,1
"Lenic,L",1,0,0,1
"Miroshnichenko,E",1,0,0,1
"Milov,V",1,0,0,1
"Mikalsen,Odd Erling",1,0,0,1
"Megaranto,S",1,0,0,1
"Matlakov,M",1,0,0,1
"Martirosyan,Haik M.",1,0,0,1
"Martinovic,Sa",1,0,0,1
"Mammadzada,G",1,0,0,1
"Maki Uuro,Mi",1,0,0,1
"Maiwald,JU",1,0,0,1
