opponent,total_matches,wins,losses,draws
"Wachinger,G",1,0,0,1
"Stubberud,O",1,0,0,1
"Stokke,K",1,0,0,1
"Stojanovski,D",1,0,0,1
"Rustemov,A",1,0,0,1
"Schewe,Joerg",1,0,0,1
"Scheffknecht,P",1,0,0,1
"Schandorff,L",1,0,0,1
"Sargissian,G",1,0,0,1
"Salgado Lopez,I",1,0,0,1
"Sala Samarra,Ivet",1,0,0,1
"Sahidi,Samir",1,0,0,1
"Sadorra,J",1,0,0,1
"Runde,HA",1,0,0,1
"Stellwagen,D",1,0,0,1
"Rukovci,Shemsi",1,0,0,1
"Rublevsky,S",1,0,0,1
"Rozentalis,E",1,0,0,1
"Royset,P",1,0,0,1
"Riley,Jonathan",1,0,0,1
"Rekola,Kimmo",1,0,0,1
"Rause,O",1,0,0,1
"Ramya,S",1,0,0,1
"Schitco,Ivan",1,0,0,1
"Schneider,Il",1,0,0,1
"Sebenik,M",1,0,0,1
"Shaposhnikov,E",1,0,0,1
"Stanojoski,Z",1,0,0,1
"Spoelman,W",1,0,0,1
"Solsky,Itzhak",1,0,0,1
"Sollid,Stein",1,0,0,1
"Solak,D",1,0,0,1
"Sokolov,Ivan",1,0,0,1
"Sokolov,I",1,0,0,1
"Snarheim,D",1,0,0,1
"Sloan,Jed David",1,0,0,1
"Skliarov,V",1,0,0,1
"Skjoldan,B",1,0,0,1
"Sjkadiuk,Aleksander",1,0,0,1
"Shuvalova,Polina",1,0,0,1
"Shumiakina,T",1,0,0,1
"Shipov,S",1,0,0,1
"Shimanov,A",1,0,0,1
"Shevchenko,Kirill",1,0,0,1
"Nilssen,J",1,0,0,1
"Lei,Tingjie",1,0,0,1
"Nijboer,F",1,0,0,1
"Flaata,A",1,0,0,1
"Fant,G",1,0,0,1
"Etmans,M",1,0,0,1
"Ernst,S",1,0,0,1
"Erigaisi,Arjun",1,0,0,1
"Epishin,V",1,0,0,1
"Elsness,F",1,0,0,1
"El Debs,F",1,0,0,1
"Ehlvest,J",1,0,0,1
"Egeland,M",1,0,0,1
"Efimenko,Z",1,0,0,1
"Dworakowska,J",1,0,0,1
"Drozdowski,K",1,0,0,1
"Drabke,L",1,0,0,1
"Dolmatov,S",1,0,0,1
"Dimitriadis,M",1,0,0,1
"Diamant,A",1,0,0,1
"Demidov,M",1,0,0,1
"Deepan,C",1,0,0,1
"Deac,Bogdan-Daniel",1,0,0,1
"Finegold,B",1,0,0,1
